,index,Unnamed: 0,Year,Award,Winner
0,38,38,1949,Best Musical,Kiss Me Kate
1,55,55,1950,Best Musical,South Pacific
2,75,75,1951,Best Musical,Guys and Dolls
3,95,95,1952,Best Musical,The King and I
4,112,112,1953,Best Musical,Wonderful Town
5,131,131,1954,Best Musical,Kismet
6,149,149,1955,Best Musical,The Pajama Game
7,168,168,1956,Best Musical,Damn Yankees by George Abbot and Douglass Wallop
8,187,187,1957,Best Musical,My Fair Lady
9,206,206,1958,Best Musical,Vincent J
10,225,225,1959,Best Musical,Elia Kazan
11,245,245,1960,Best Musical,The Sound of Music by Howard Lindsay and Russel Crouse
12,267,267,1961,Best Musical,Bye
13,289,289,1962,Best Musical,Abe Burrows
14,310,310,1963,Best Musical,A Funny Thing Happened on the Way to the Forum
15,332,332,1964,Best Musical,Hello
16,353,353,1965,Best Musical,Fiddler on the Roof
17,372,372,1966,Best Musical,Man of La Mancha
18,389,389,1967,Best Musical,Cabaret
19,405,405,1968,Best Musical,Mike Nichols
20,424,424,1969,Best Musical,1776
21,441,441,1970,Best Musical,Applause
22,459,459,1971,Best Musical,Company
23,480,480,1972,Best Musical,Two Gentleman of Verona
24,499,499,1973,Best Musical,A Little Night Music
25,518,518,1974,Best Musical,Raisin
26,537,537,1975,Best Musical,The Wiz
27,556,556,1976,Best Musical,A Chorus Line
28,576,576,1977,Best Musical,Jennifer Tipton
29,597,597,1978,Best Musical,Ain't Misbehavin'
30,618,618,1979,Best Musical,Roger Morgan
31,638,638,1980,Best Musical,Evita
32,659,659,1981,Best Musical,42nd Street
33,680,680,1982,Best Musical,Nine
34,701,701,1983,Best Musical,Cats
35,721,721,1984,Best Musical,La Cage aux Folles
36,739,739,1985,Best Musical,Big River
37,760,760,1986,Best Musical,The Mystery of Edwin Drood
38,780,780,1987,Best Musical,Les Misérables 
39,801,801,1988,Best Musical,The Phantom of the Opera
40,822,822,1989,Best Musical,Jerome  Robbins' Broadway
41,842,842,1990,Best Musical,City of Angels
42,863,863,1991,Best Musical,The Will Rogers Follies
43,884,884,1992,Best Musical,Crazy for You
44,905,905,1993,Best Musical,Kiss of the Spider Woman--The Musical
45,927,927,1994,Best Musical,Passion
46,949,949,1995,Best Musical,Sunset Boulevard
47,972,972,1996,Best Musical,Rent
48,993,993,1997,Best Musical,Titanic
49,1016,1016,1998,Best Musical,The Lion King
50,1040,1040,1999,Best Musical,Fosse
51,1064,1064,2000,Best Musical,Contact
52,1089,1089,2001,Best Musical,The Producers
53,1114,1114,2002,Best Musical,Thoroughly Modern Millie
54,1138,1138,2003,Best Musical,Hairspray
55,1163,1163,2004,Best Musical,Avenue Q
56,1189,1189,2005,Best Musical,Monty Python's Spamalot
57,1217,1217,2006,Best Musical,Jersey Boys
58,1245,1245,2007,Best Musical,Spring Awakening
59,1272,1272,2008,Best Musical,In The Heights
60,1302,1302,2009,Best Musical,Billy Elliot
61,1333,1333,2010,Best Musical,Memphis
62,1363,1363,2011,Best Musical,The Book of Mormon
63,1394,1394,2012,Best Musical,Once
64,1425,1425,2013,Best Musical,Kinky Boots
65,1455,1455,2014,Best Musical,A Gentleman's Guide to Love &amp; Murder
66,1485,1485,2015,Best Musical,Fun Home
67,1514,1514,2016,Best Musical,Hamilton
68,1543,1543,2017,Best Musical,Dear Evan Hansen
69,1572,1572,2018,Best Musical,The Band's Visit
70,1587,1587,2019,Best Musical,Hadestown
71,21,21,1948,Best Play,Max Meth
72,40,40,1949,Best Play,Arthur Miller
73,57,57,1950,Best Play,The Cocktail Party by T
74,77,77,1951,Best Play,The Rose Tattoo by Tennessee Williams
75,96,96,1952,Best Play,The Fourposter by Jan de Hartog
76,113,113,1953,Best Play,The Crucible by Arthur Miller
77,132,132,1954,Best Play,The Teahouse of the August Moon by John Patrick
78,150,150,1955,Best Play,The Desperate Hours by Joseph Hayes
79,169,169,1956,Best Play,The Diary of Anne Frank by Frances Goodrich and Albert Hackett
80,188,188,1957,Best Play,Long Day's Journey Into Night by Eugene O'Neill
81,207,207,1958,Best Play,The Music Man
82,226,226,1959,Best Play,Redhead by Herbert and Dorothy Fields
83,246,246,1960,Best Play,Fiorello! By Jerome Weidman and George Abbott
84,268,268,1961,Best Play,Becket by Jean Anouilh
85,291,291,1962,Best Play,How to Succeed in Business Without Really Trying
86,312,312,1963,Best Play,Who's Afraid of Virginia Woolf? by Edward Albee
87,334,334,1964,Best Play,Luther by John Osborne
88,355,355,1965,Best Play,The Subject Was Roses by Frank Gilroy
89,374,374,1966,Best Play,Marat/Sade by Peter Weiss
90,391,391,1967,Best Play,The Homecoming by Harold Pinter
91,407,407,1968,Best Play,Jule Styne
92,425,425,1969,Best Play,The Great White Hope by Howard Sackler
93,442,442,1970,Best Play,Borstal Boy by Frank McMahon
94,461,461,1971,Best Play,Stephen Sondheim
95,482,482,1972,Best Play,Sticks and Bones by David Rabe
96,501,501,1973,Best Play,That Championship Season by Jason Miller
97,520,520,1974,Best Play,The River Niger by Joseph A
98,539,539,1975,Best Play,Equus by Peter Shaffer
99,558,558,1976,Best Play,Travesties by Tom Stoppard
100,578,578,1977,Best Play,Annie
101,599,599,1978,Best Play,Da by Hugh Leonard
102,620,620,1979,Best Play,Sweeney Todd
103,640,640,1980,Best Play,Children of a Lesser God by Mark Medoff
104,661,661,1981,Best Play,Amadeus by Peter Shaffer
105,682,682,1982,Best Play,The Life and Adventures of Nicholas Nickleby by David Edgar
106,703,703,1983,Best Play,Torch Song Trilogy by Harvey Fierstein
107,723,723,1984,Best Play,The Real Thing by Tom Stoppard
108,741,741,1985,Best Play,Biloxi Blues by Neil Simon
109,762,762,1986,Best Play,I'm Not Rappaport by Herb Gardner
110,782,782,1987,Best Play,Fences by August Wilson
111,803,803,1988,Best Play,M
112,824,824,1989,Best Play,The Heidi Chronicles by Wendy Wasserstein
113,844,844,1990,Best Play,The Grapes of Wrath by Frank Galati
114,865,865,1991,Best Play,Lost in Yonkers by Neil Simon
115,886,886,1992,Best Play,Dancing at Lughnasa by Brian Friel
116,907,907,1993,Best Play,The Who's Tommy
117,929,929,1994,Best Play,Angels in America: Perestroika by Tony Kushner
118,951,951,1995,Best Play,Love! Valour! Compassion! By Terrence McNally
119,974,974,1996,Best Play,Master Class by Terrence McNally
120,996,996,1997,Best Play,The Last Night of Ballyhoo by Alfred Uhry
121,1019,1019,1998,Best Play,Art by Yasmina Reza
122,1043,1043,1999,Best Play,Side Man by Warren Leight
123,1067,1067,2000,Best Play,Copenhagen by Michael Frayn
124,1092,1092,2001,Best Play,Proof by David Auburn
125,1117,1117,2002,Best Play,Edward Albee's The Goat or Who Is Sylvia? by Edward Albee
126,1141,1141,2003,Best Play,Take Me Out by Richard Greenberg
127,1166,1166,2004,Best Play,I Am My Own Wife
128,1192,1192,2005,Best Play,Doubt
129,1220,1220,2006,Best Play,The History Boys
130,1248,1248,2007,Best Play,The Coast of Utopia
131,1275,1275,2008,Best Play,August: Osage County
132,1305,1305,2009,Best Play,Next to Normal
133,1336,1336,2010,Best Play,Red
134,1366,1366,2011,Best Play,War Horse
135,1397,1397,2012,Best Play,Clybourne Park
136,1428,1428,2013,Best Play,Vanya and Sonia and Masha and Spike
137,1458,1458,2014,Best Play,All The Way
138,1488,1488,2015,Best Play,The Curious Incident of the Dog in the Night-Time
139,1517,1517,2016,Best Play,The Humans
140,1546,1546,2017,Best Play,Oslo
141,1575,1575,2018,Best Play,Harry Potter and the Cursed Child
142,1586,1586,2019,Best Play,The Ferryman
