,Year,Award,Winner
0,1947,Actor (Play),José Ferrer
1,1947,Actress (Play),Fredric March
2,1947,Actor (Featured Role – Musical),Ingrid Bergman
3,1947,Actress (Featured Role – Play),Helen Hayes
4,1947,Author (Play),David Wayne
5,1947,Choreographer,Patricia Neal
6,1947,Costume Designer,Arthur Miller
7,1947,Director [Play or Musical],Agnes de Mille
8,1947,Original Musical Score,Michael Kidd
9,1947,Scenic Designer,Lucinda Ballard
10,1947,Special Tony Award,Elia Kazan
11,1948,Actor (Musical),Paul Hartman
12,1948,Actor (Play),Henry Fonda
13,1948,Actress (Musical),Paul Kelly
14,1948,Actress (Play),Basil Rathbone
15,1948,Author (Play),Grace Hartman
16,1948,Choreographer,Judith Anderson
17,1948,Conductor and Musical Director,Katharine Cornell
18,1948,Costume Designer,Jessica Tandy
19,1948,Director [Play or Musical],Thomas Heggen and Joshua Logan
20,1948,Outstanding Performance By Newcomers,Jerome Robbins
21,1948,Play,Max Meth
22,1948,Producer (Play),Mary Percy Schenck
23,1948,Regional Theatre Tony Award,Joshua Logan
24,1948,Scenic Designer,June Lockhart
25,1948,Special Tony Award,James Whitmore
26,1948,Stage Technician,Mister Roberts by Thomas Heggen and Joshua Logan/based on the Thomas Heggen novel
27,1949,Actor (Musical),Ray Bolger
28,1949,Actor (Play),Rex Harrison
29,1949,Actress (Musical),Nanette Fabray
30,1949,Actress (Play),Martita Hunt
31,1949,Actor (Featured Role – Play),Arthur Kennedy
32,1949,Actress (Featured Role – Play),Shirley Booth
33,1949,Book (Musical),Bella and Samuel Spewack
34,1949,Choreographer,Gower Champion
35,1949,Conductor and Musical Director,Max Meth
36,1949,Costume Designer,Lemuel Ayers
37,1949,Director [Play or Musical],Elia Kazan
38,1949,Musical,Kiss Me Kate
39,1949,Original Musical Score,Cole Porter
40,1949,Play,Arthur Miller
41,1949,Producer (Musical),Death of a Salesman by Arthur Miller
42,1949,Producer (Play),Saint-Subber and Lemuel Ayers
43,1949,Scenic Designer,Kermit Bloomgarden and Walter Fried
44,1950,Actor (Musical),Ezio Pinza
45,1950,Actor (Play),Sidney Blackmer
46,1950,Actress (Musical),Mary Martin
47,1950,Actress (Play),Shirley Booth
48,1950,Actor (Featured Role – Musical),Myron McCormick
49,1950,Actress (Featured Role – Musical),Juanita Hall
50,1950,Book (Musical),Oscar Hammerstein II and Joshua Logan
51,1950,Choreographer,Helen Tamiris
52,1950,Conductor and Musical Director,Maurice Abravanel
53,1950,Costume Designer,Aline Bernstein
54,1950,Director [Play or Musical],Joshua Logan
55,1950,Musical,South Pacific
56,1950,Original Musical Score,Richard Rodgers
57,1950,Play,The Cocktail Party by T
58,1950,Producer (Musical),South Pacific
59,1950,Producer (Play),Gilbert Miller
60,1950,Scenic Designer,Jo Mielziner
61,1950,Special Tony Award,Maurice Evans
62,1950,Stage Technician,Mrs
63,1951,Actor (Musical),Robert Alda
64,1951,Actor (Play),Claude Rains
65,1951,Actress (Musical),Ethel Merman
66,1951,Actress (Play),Uta Hagen
67,1951,Actor (Featured Role – Musical),Russell Nype
68,1951,Actor (Featured Role – Play),Eli Wallach
69,1951,Actress (Featured Role – Musical),Isabel Bigley
70,1951,Actress (Featured Role – Play),Maureen Stapleton
71,1951,Choreographer,Michael Kidd
72,1951,Conductor and Musical Director,Lehman Engel
73,1951,Costume Designer,Miles White
74,1951,Director [Play or Musical],George S
75,1951,Musical,Guys and Dolls
76,1951,Original Musical Score,Irving Berlin
77,1951,Play,The Rose Tattoo by Tennessee Williams
78,1951,Producer (Musical),Cy Feuer and Ernest H
79,1951,Producer (Play),Cheryl Crawford
80,1951,Scenic Designer,Boris Aronson
81,1951,Special Tony Award,Ruth Green
82,1951,Stage Technician,Richard Raven
83,1952,Actor (Musical),Phil Silvers
84,1952,Actor (Play),José Ferrer
85,1952,Actress (Musical),Gertrude Lawrence
86,1952,Actress (Play),Julie Harris
87,1952,Actor (Featured Role – Musical),Yul Brynner
88,1952,Actor (Featured Role – Play),John Cromwell
89,1952,Actress (Featured Role – Musical),Helen Gallagher
90,1952,Actress (Featured Role – Play),Marian Winters
91,1952,Choreographer,Robert Alton
92,1952,Conductor and Musical Director,Max Meth
93,1952,Costume Designer,Irene Sharaff
94,1952,Director [Play or Musical],José Ferrer
95,1952,Musical,The King and I
96,1952,Play,The Fourposter by Jan de Hartog
97,1952,Scenic Designer,Jo Mielziner
98,1952,Special Tony Award,Judy Garland
99,1952,Stage Technician,Edward Kook
100,1953,Actor (Musical),Thomas Mitchell
101,1953,Actor (Play),Tom Ewell
102,1953,Actress (Musical),Rosalind Russell
103,1953,Actress (Play),Shirley Booth
104,1953,Actor (Featured Role – Musical),Hiram Sherman
105,1953,Actor (Featured Role – Play),John Williams
106,1953,Actress (Featured Role – Musical),Sheila Bond
107,1953,Actress (Featured Role – Play),Beatrice Straight
108,1953,Choreographer,Donald Saddler
109,1953,Conductor and Musical Director,Lehman Engel
110,1953,Costume Designer,Miles White
111,1953,Director [Play or Musical],Joshua Logan
112,1953,Musical,Wonderful Town
113,1953,Play,The Crucible by Arthur Miller
114,1953,Producer (Musical),Robert Fryer
115,1953,Producer (Play),Kermit Bloomgarden
116,1953,Scenic Designer,Raoul Pene Du Bois
117,1953,Special Tony Award,Beatrice Lillie
118,1953,Stage Technician,Danny Kaye
119,1954,Actor (Musical),Alfred Drake
120,1954,Actor (Play),David Wayne
121,1954,Actress (Musical),Dolores Gray
122,1954,Actress (Play),Audrey Hepburn
123,1954,Actor (Featured Role – Musical),Harry Belafonte
124,1954,Actor (Featured Role – Play),John Kerr
125,1954,Actress (Featured Role – Musical),Gwen Verdon
126,1954,Actress (Featured Role – Play),Jo Van Fleet
127,1954,Choreographer,Michael Kidd
128,1954,Conductor and Musical Director,Louis Adrian
129,1954,Costume Designer,Richard Whorf
130,1954,Director [Play or Musical],Alfred Lunt
131,1954,Musical,Kismet
132,1954,Play,The Teahouse of the August Moon by John Patrick
133,1954,Producer (Musical),Charles Lederer
134,1954,Producer (Play),Maurice Evans and George Schaefer
135,1954,Scenic Designer,Peter Larkin
136,1954,Stage Technician,John Davis
137,1955,Actor (Musical),Walter Slezak
138,1955,Actor (Play),Alfred Lunt
139,1955,Actress (Musical),Mary Martin
140,1955,Actress (Play),Nancy Kelly
141,1955,Actor (Featured Role – Musical),Cyril Ritchard
142,1955,Actor (Featured Role – Play),Francis L
143,1955,Actress (Featured Role – Musical),Carol Haney
144,1955,Actress (Featured Role – Play),Patricia Jessel
145,1955,Choreographer,Bob Fosse
146,1955,Conductor and Musical Director,Thomas Schippers
147,1955,Costume Designer,Cecil Beaton
148,1955,Director [Play or Musical],Robert Montgomery
149,1955,Musical,The Pajama Game
150,1955,Play,The Desperate Hours by Joseph Hayes
151,1955,Producer (Musical),Frederick Brisson
152,1955,Producer (Play),Howard Erskine and Joseph Hayes
153,1955,Scenic Designer,Oliver Messell
154,1955,Special Tony Award,Proscenium Productions
155,1955,Stage Technician,Richard Rodda
156,1956,Actor (Musical),Ray Walston
157,1956,Actor (Play),Paul Muni
158,1956,Actress (Musical),Gwen Verdon
159,1956,Actress (Play),Julie Harris
160,1956,Actor (Featured Role – Musical),Russ Brown
161,1956,Actor (Featured Role – Play),Ed Begley
162,1956,Actress (Featured Role – Musical),Lotte Lenya
163,1956,Actress (Featured Role – Play),Una Merkel
164,1956,Choreographer,Bob Fosse
165,1956,Conductor and Musical Director,Hal Hastings
166,1956,Costume Designer,Alvin Colt
167,1956,Director [Play or Musical],Tyrone Guthrie
168,1956,Musical,Damn Yankees by George Abbot and Douglass Wallop
169,1956,Play,The Diary of Anne Frank by Frances Goodrich and Albert Hackett
170,1956,Producer (Musical),Frederick Brisson
171,1956,Producer (Play),Kermit Bloomgarden
172,1956,Scenic Designer,Peter Larkin
173,1956,Special Tony Award,City Center
174,1956,Stage Technician,Fourth Street Chekov Theatre
175,1957,Actor (Musical),Rex Harrison
176,1957,Actor (Play),Fredric March
177,1957,Actress (Musical),Judy Holliday
178,1957,Actress (Play),Margaret Leighton
179,1957,Actor (Featured Role – Musical),Sydney Chaplin
180,1957,Actor (Featured Role – Play),Frank Conroy
181,1957,Actress (Featured Role – Musical),Edith Adams
182,1957,Actress (Featured Role – Play),Peggy Cass
183,1957,Choreographer,Michael Kidd
184,1957,Conductor and Musical Director,Franz Allers
185,1957,Costume Designer,Cecil Beaton
186,1957,Director [Play or Musical],Moss Hart
187,1957,Musical,My Fair Lady
188,1957,Play,Long Day's Journey Into Night by Eugene O'Neill
189,1957,Producer (Musical),Herman Levin
190,1957,Producer (Play),Leigh Connell
191,1957,Scenic Designer,Oliver Smith
192,1957,Special Tony Award,American Shakespeare Festival
193,1957,Stage Technician,Jean-Louis Barrault--French Repertory
194,1958,Actor (Musical),Robert Preston
195,1958,Actor (Play),Ralph Bellamy
196,1958,Actress (Musical),Thelma Ritter
197,1958,Actress (Play),Gwen Verdon
198,1958,Actor (Featured Role – Musical),Helen Hayes
199,1958,Actor (Featured Role – Play),David Burns
200,1958,Actress (Featured Role – Musical),Henry Jones
201,1958,Actress (Featured Role – Play),Barbara Cook
202,1958,Choreographer,Anne Bancroft
203,1958,Conductor and Musical Director,Jerome Robbins
204,1958,Costume Designer,Herbert Greene
205,1958,Director [Play or Musical],Motley
206,1958,Musical,Vincent J
207,1958,Play,The Music Man
208,1958,Producer (Musical),Sunrise At Campobello by Dore Schary
209,1958,Producer (Play),Kermit Bloomgarden
210,1958,Scenic Designer,Lawrence Langer
211,1958,Special Tony Award,Oliver Smith
212,1958,Stage Technician,New York Shakespeare Festival
213,1959,Actor (Musical),Richard Kiley
214,1959,Actor (Play),Jason Robards
215,1959,Actress (Musical),Gwen Verdon
216,1959,Actress (Play),Gertrude Berg
217,1959,Actor (Featured Role – Musical),Russell Nype
218,1959,Actor (Featured Role – Play),Leonard Stone
219,1959,Actress (Featured Role – Musical),Charlie Ruggles
220,1959,Actress (Featured Role – Play),Pat Stanley
221,1959,Choreographer,Julie Newmar
222,1959,Conductor and Musical Director,Bob Fosse
223,1959,Costume Designer,Salvatore Dell'Isola
224,1959,Director [Play or Musical],Rouben Ter-Arutunian
225,1959,Musical,Elia Kazan
226,1959,Play,Redhead by Herbert and Dorothy Fields
227,1959,Producer (Musical),J
228,1959,Producer (Play),Robert Fryer and Lawrence Carr
229,1959,Scenic Designer,Alfred de Liagre
230,1959,Special Tony Award,Donald Oenslager
231,1959,Stage Technician,John Gielgud
232,1960,Actor (Musical),Jackie Gleason
233,1960,Actor (Play),Melvyn Douglas
234,1960,Actress (Musical),Mary Martin
235,1960,Actress (Play),Anne Bancroft
236,1960,Actor (Featured Role – Musical),Tom Bosley
237,1960,Actor (Featured Role – Play),Roddy McDowell
238,1960,Actress (Featured Role – Musical),Patricia Neway
239,1960,Actress (Featured Role – Play),Anne Revere
240,1960,Choreographer,Michael Kidd
241,1960,Conductor and Musical Director,Frederick Dvonch
242,1960,Costume Designer,Cecil Beaton
243,1960,Director (Musical),George Abbott
244,1960,Director (Play),Arthur Penn
245,1960,Musical,The Sound of Music by Howard Lindsay and Russel Crouse
246,1960,Play,Fiorello! By Jerome Weidman and George Abbott
247,1960,Producer (Musical),The Miracle Worker by William Gibson
248,1960,Producer (Play),Robert E
249,1960,Scenic Design (Musical),Leland Hayward
250,1960,Scenic Design (Play),Fred Coe
251,1960,Special Tony Award,Oliver Smith
252,1960,Stage Technician,Howard Bay
253,1961,Actor (Musical),Richard Burton
254,1961,Actor (Play),Zero Mostel
255,1961,Actress (Musical),Elizabeth Seal
256,1961,Actress (Play),Joan Plowright
257,1961,Actor (Featured Role – Musical),Dick Van Dyke
258,1961,Actor (Featured Role – Play),Martin Gable
259,1961,Actress (Featured Role – Musical),Tammy Grimes
260,1961,Actress (Featured Role – Play),Colleen Dewhurst
261,1961,Choreographer,Gower Champion
262,1961,Conductor and Musical Director,Franz Allers
263,1961,Costume Design (Musical),Adrian and Tony Duquette
264,1961,Costume Design (Play),Motley
265,1961,Director (Musical),Gower Champion
266,1961,Director (Play),Sir John Gielgud
267,1961,Musical,Bye
268,1961,Play,Becket by Jean Anouilh
269,1961,Producer (Musical),Edward Padula
270,1961,Producer (Play),David Merrick
271,1961,Scenic Design (Musical),Oliver Smith
272,1961,Scenic Design (Play),Oliver Smith
273,1961,Special Tony Award,David Merrick
274,1961,Stage Technician,The Theatre Guild
275,1962,Actor (Musical),Robert Morse
276,1962,Actor (Play),Paul Scofield
277,1962,Actress (Musical),Anna Maria Alberghetti
278,1962,Actress (Play),Diahann Carroll
279,1962,Actor (Featured Role – Musical),Margaret Leighton
280,1962,Actor (Featured Role – Play),Charles Nelson Reilly
281,1962,Actress (Featured Role – Musical),Walter Matthau
282,1962,Actress (Featured Role – Play),Phyllis Newman
283,1962,Book (Musical),Elizabeth Ashley
284,1962,Choreographer,Abe Burrows
285,1962,Conductor and Musical Director,Joe Layton
286,1962,Costume Designer,Agnes de Mille
287,1962,Director (Musical),Elliot Lawrence
288,1962,Director (Play),Lucinda Ballard
289,1962,Musical,Abe Burrows
290,1962,Original Musical Score,Noel Willman
291,1962,Play,How to Succeed in Business Without Really Trying
292,1962,Producer (Musical),Richard Rodgers
293,1962,Producer (Play),A Man for All Seasons by Robert Bolt
294,1962,Scenic Designer,Cy Feuer and Ernest Martin
295,1962,Special Tony Award,Robert Whitehead and Roger L
296,1963,Actor (Musical),Zero Mostel
297,1963,Actor (Play),Arthur Hill
298,1963,Actress (Musical),Vivien Leigh
299,1963,Actress (Play),Uta Hagen
300,1963,Actor (Featured Role – Musical),David Burns
301,1963,Actor (Featured Role – Play),Alan Arkin
302,1963,Actress (Featured Role – Musical),Anna Quayle
303,1963,Actress (Featured Role – Play),Sandy Dennis
304,1963,Book (Musical),Burt Shevelove and Larry Gelbart
305,1963,Choreographer,Bob Fosse
306,1963,Conductor and Musical Director,Donald <i>Pippin</i>
307,1963,Costume Designer,Anthony Powell
308,1963,Director (Musical),George Abbott
309,1963,Director (Play),Alan Schneider
310,1963,Musical,A Funny Thing Happened on the Way to the Forum
311,1963,Original Musical Score,Lionel Bart
312,1963,Play,Who's Afraid of Virginia Woolf? by Edward Albee
313,1963,Producer (Musical),Harold Prince
314,1963,Producer (Play),Richard Barr and Clinton Wilder
315,1963,Scenic Designer,Sean Kenny
316,1963,Special Tony Award,W
317,1963,Stage Technician,Irving Berlin
318,1964,Actor (Musical),Bert Lahr
319,1964,Actor (Play),Alec Guinness
320,1964,Actress (Musical),Carol Channing
321,1964,Actress (Play),Sandy Dennis
322,1964,Actor (Featured Role – Musical),Jack Cassidy
323,1964,Actor (Featured Role – Play),Hume Cronyn
324,1964,Actress (Featured Role – Musical),Tessie O'Shea
325,1964,Actress (Featured Role – Play),Barbara Loden
326,1964,Book (Musical),Michael Stewart
327,1964,Choreographer,Gower Champion
328,1964,Conductor and Musical Director,Shepard Coleman
329,1964,Costume Designer,Freddy Wittop
330,1964,Director (Musical),Gower Champion
331,1964,Director (Play),Mike Nichols
332,1964,Musical,Hello
333,1964,Original Musical Score,Jerry Herman
334,1964,Play,Luther by John Osborne
335,1964,Producer (Musical),David Merrick
336,1964,Producer (Play),Herman Shumlin
337,1964,Scenic Designer,Oliver Smith
338,1964,Special Tony Award,Eva Le Gallienne
339,1965,Actor (Musical),Zero Mostel
340,1965,Actor (Play),Walter Matthau
341,1965,Actress (Musical),Liza Minnelli
342,1965,Actress (Play),Irene Worth
343,1965,Actor (Featured Role – Musical),Victor Spinetti
344,1965,Actor (Featured Role – Play),Jack Albertson
345,1965,Actress (Featured Role – Musical),Maria Karnilova
346,1965,Actress (Featured Role – Play),Alice Ghostley
347,1965,Author (Play),Neil Simon
348,1965,Book (Musical),Joseph Stein
349,1965,Choreographer,Jerome Robbins
350,1965,Costume Designer,Patricia Zipprodt
351,1965,Director (Musical),Jerome Robbins
352,1965,Director (Play),Mike Nichols
353,1965,Musical,Fiddler on the Roof
354,1965,Original Musical Score,Jerry Bock and Sheldon Harnick
355,1965,Play,The Subject Was Roses by Frank Gilroy
356,1965,Producer (Musical),Harold Prince
357,1965,Producer (Play),Claire Nichtern
358,1965,Scenic Designer,Oliver Smith <i>Baker Street
359,1965,Special Tony Award,Gilbert Miller
360,1966,Actor (Musical),Richard Kiley
361,1966,Actor (Play),Hal Holbrook
362,1966,Actress (Musical),Angela Lansbury
363,1966,Actress (Play),Rosemary Harris
364,1966,Actor (Featured Role – Musical),Frankie Michaels
365,1966,Actor (Featured Role – Play),Patrick Magee
366,1966,Actress (Featured Role – Musical),Beatrice Arthur
367,1966,Actress (Featured Role – Play),Zoe Caldwell
368,1966,Choreographer,Bob Fosse
369,1966,Costume Designer,Gunilla Palmstierna-Weiss
370,1966,Director (Musical),Albert Marre
371,1966,Director (Play),Peter Brook
372,1966,Musical,Man of La Mancha
373,1966,Original Musical Score,Mitch Leigh and Joe Darion
374,1966,Play,Marat/Sade by Peter Weiss
375,1966,Scenic Designer,Howard Bay
376,1966,Special Tony Award,Helen Menken (posthumous)
377,1967,Actor (Musical),Robert Preston
378,1967,Actor (Play),Paul Rogers
379,1967,Actress (Musical),Barbara Harris
380,1967,Actress (Play),Beryl Reid
381,1967,Actor (Featured Role – Musical),Joel Grey
382,1967,Actor (Featured Role – Play),Ian Holm
383,1967,Actress (Featured Role – Musical),Peg Murray
384,1967,Actress (Featured Role – Play),Marian Seldes
385,1967,Choreographer,Ron Field
386,1967,Costume Designer,Patricia Zipprodt
387,1967,Director (Musical),Harold Prince
388,1967,Director (Play),Peter Hall
389,1967,Musical,Cabaret
390,1967,Original Musical Score,John Kander and Fred Ebb
391,1967,Play,The Homecoming by Harold Pinter
392,1967,Scenic Designer,Boris Aronson
393,1968,Actor (Musical),Robert Goulet
394,1968,Actor (Play),Martin Balsam
395,1968,Actress (Musical),Patricia Routledge
396,1968,Actress (Play),Leslie Uggams
397,1968,Actor (Featured Role – Musical),Zoe Caldwell
398,1968,Actor (Featured Role – Play),Hiram Sherman
399,1968,Actress (Featured Role – Musical),James Patterson
400,1968,Actress (Featured Role – Play),Lillian Hayman
401,1968,Choreographer,Zena Walker
402,1968,Costume Designer,Gower Champion
403,1968,Director (Musical),Desmond Heeley
404,1968,Director (Play),Gower Champion
405,1968,Musical,Mike Nichols
406,1968,Original Musical Score,Hallelujah
407,1968,Play,Jule Styne
408,1968,Producer (Musical),Rosencrantz and Guildenstern Are Dead by Tom Stoppard
409,1968,Producer (Play),Albert Selden
410,1968,Scenic Designer,David Merrick Arts Foundation
411,1968,Special Tony Award,Desmond Heeley
412,1969,Actor (Musical),Jerry Orbach
413,1969,Actor (Play),James Earl Jones
414,1969,Actress (Musical),Angela Lansbury
415,1969,Actress (Play),Julie Harris
416,1969,Actor (Featured Role – Musical),Ronald Holgate
417,1969,Actor (Featured Role – Play),Al Pacino
418,1969,Actress (Featured Role – Musical),Marian Mercer
419,1969,Actress (Featured Role – Play),Jane Alexander
420,1969,Choreographer,Joe Layton
421,1969,Costume Designer,Louden Sainthill
422,1969,Director (Musical),Peter Hunt
423,1969,Director (Play),Peter Dews
424,1969,Musical,1776
425,1969,Play,The Great White Hope by Howard Sackler
426,1969,Scenic Designer,Boris Aronson
427,1969,Special Tony Award,The National Theatre Company of Great Britain
428,1970,Actor (Musical),Cleavon Little
429,1970,Actor (Play),Fritz Weaver
430,1970,Actress (Musical),Lauren Bacall
431,1970,Actress (Play),Tammy Grimes
432,1970,Actor (Featured Role – Musical),René Auberjonois
433,1970,Actor (Featured Role – Play),Ken Howard
434,1970,Actress (Featured Role – Musical),Melba Moore
435,1970,Actress (Featured Role – Play),Blythe Danner
436,1970,Choreographer,Ron Field
437,1970,Costume Designer,Cecil Beaton
438,1970,Director (Musical),Ron Field
439,1970,Director (Play),Joseph Hardy
440,1970,Lighting Designer,Jo Mielziner
441,1970,Musical,Applause
442,1970,Play,Borstal Boy by Frank McMahon
443,1970,Scenic Designer,Jo Mielziner
444,1970,Special Tony Award,Sir Noel Coward for his multiple and immortal contributions to the theatre
445,1971,Actor (Musical),Hal Linden
446,1971,Actor (Play),Brian Bedford
447,1971,Actress (Musical),Helen Gallagher
448,1971,Actress (Play),Maureen Stapleton
449,1971,Actor (Featured Role – Musical),Keene Curtis
450,1971,Actor (Featured Role – Play),Paul Sand
451,1971,Actress (Featured Role – Musical),Patsy Kelly
452,1971,Actress (Featured Role – Play),Rae Allen
453,1971,Book (Musical),George Furth
454,1971,Choreographer,Donald Saddler
455,1971,Costume Designer,Raoul Pène Du Bois
456,1971,Director (Musical),Harold Prince
457,1971,Director (Play),Peter Brook
458,1971,Lighting Designer,R
459,1971,Musical,Company
460,1971,Original Musical Score,Stephen Sondheim
461,1971,Play,Stephen Sondheim
462,1971,Producer (Musical),Sleuth by Anthony Shaffer
463,1971,Producer (Play),Harold Prince
464,1971,Scenic Designer,Helen Bonfils
465,1971,Special Tony Award,Boris Aronson
466,1972,Actor (Musical),Phil Silvers
467,1972,Actor (Play),Cliff Gorman
468,1972,Actress (Musical),Alexis Smith
469,1972,Actress (Play),Sada Thompson
470,1972,Actor (Featured Role – Musical),Larry Blyden
471,1972,Actor (Featured Role – Play),Vincent Gardenia
472,1972,Actress (Featured Role – Musical),Linda Hopkins
473,1972,Actress (Featured Role – Play),Elizabeth Wilson
474,1972,Book (Musical),Two Gentlemen of Verona by John Guare and Mel Shapiro
475,1972,Choreographer,Michael Bennet
476,1972,Costume Designer,Florence Klotz
477,1972,Director (Musical),Harold Prince and Michael Bennett
478,1972,Director (Play),Mike Nichols
479,1972,Lighting Designer,Tharon Musser
480,1972,Musical,Two Gentleman of Verona
481,1972,Original Musical Score,Follies
482,1972,Play,Sticks and Bones by David Rabe
483,1972,Scenic Designer,Boris Aronson
484,1972,Special Tony Award,The Theatre Guild-American Theatre Society
485,1973,Actor (Musical),Ben Vereen
486,1973,Actor (Play),Alan Bates
487,1973,Actress (Musical),Glynis Johns
488,1973,Actress (Play),Julie Harris
489,1973,Actor (Featured Role – Musical),George S
490,1973,Actor (Featured Role – Play),John Lithgow
491,1973,Actress (Featured Role – Musical),Patricia Elliott
492,1973,Actress (Featured Role – Play),Leora Dana
493,1973,Book (Musical),A Little Night Music by Hugh Wheeler
494,1973,Choreographer,Bob Fosse
495,1973,Costume Designer,Florence Klotz
496,1973,Director (Musical),Bob Fosse
497,1973,Director (Play),A
498,1973,Lighting Designer,Jules Fisher
499,1973,Musical,A Little Night Music
500,1973,Original Musical Score,A Little Night Music
501,1973,Play,That Championship Season by Jason Miller
502,1973,Scenic Designer,Tony Walton
503,1973,Special Tony Award,John Lindsay
504,1974,Actor (Musical),Christopher Plummer
505,1974,Actor (Play),Michael Moriarty
506,1974,Actress (Musical),Virginia Capers
507,1974,Actress (Play),Colleen Dewhurst
508,1974,Actor (Featured Role – Musical),Tommy Tune
509,1974,Actor (Featured Role – Play),Ed Flanders
510,1974,Actress (Featured Role – Musical),Janie Sell
511,1974,Actress (Featured Role – Play),Frances Sternhagen
512,1974,Book (Musical),Candide by Hugh Wheeler
513,1974,Choreographer,Michael Bennett
514,1974,Costume Designer,Franne Lee
515,1974,Director (Musical),Harold Prince
516,1974,Director (Play),José Quintero
517,1974,Lighting Designer,Jules Fisher
518,1974,Musical,Raisin
519,1974,Original Musical Score,Gigi
520,1974,Play,The River Niger by Joseph A
521,1974,Scenic Designer,Franne and Eugene Lee
522,1974,Special Tony Award,Liza Minnelli
523,1975,Actor (Musical),John Cullum
524,1975,Actor (Play),John Kani and Winston Ntshona
525,1975,Actress (Musical),Angela Lansbury
526,1975,Actress (Play),Ellen Burstyn
527,1975,Actor (Featured Role – Musical),Ted Ross
528,1975,Actor (Featured Role – Play),Frank Langella
529,1975,Actress (Featured Role – Musical),Dee Dee Bridgewater
530,1975,Actress (Featured Role – Play),Rita Moreno
531,1975,Book (Musical),Shenandoah by James Lee Barrett
532,1975,Choreographer,George Faison
533,1975,Costume Designer,Geoffrey Holder
534,1975,Director (Musical),Geoffrey Holder
535,1975,Director (Play),John Dexter
536,1975,Lighting Designer,Neil Peter Jampolis
537,1975,Musical,The Wiz
538,1975,Original Musical Score,The Wiz
539,1975,Play,Equus by Peter Shaffer
540,1975,Scenic Designer,Carl Toms
541,1975,Special Tony Award,Al Hirschfeld for 50 years of theatrical cartoons
542,1976,Actor (Musical),George Rose
543,1976,Actor (Play),John Wood
544,1976,Actress (Musical),Donna McKechnie
545,1976,Actress (Play),Irene Worth
546,1976,Actor (Featured Role – Musical),Sammy Williams
547,1976,Actor (Featured Role – Play),Edward Herrmann
548,1976,Actress (Featured Role – Musical),Carole Bishop
549,1976,Actress (Featured Role – Play),Shirley Knight
550,1976,Book (Musical),A Chorus Line by James Kirkwood and Nicholas Dante
551,1976,Choreographer,Michael Bennet and Bob Avian
552,1976,Costume Designer,Florence Klotz
553,1976,Director (Musical),Michael Bennett
554,1976,Director (Play),Ellis Rabb
555,1976,Lighting Designer,Tharon Musser
556,1976,Musical,A Chorus Line
557,1976,Original Musical Score,A Chorus Line
558,1976,Play,Travesties by Tom Stoppard
559,1976,Regional Theatre Tony Award,The Arena Stage
560,1976,Scenic Designer,Boris Aronson
561,1976,Special Tony Award,George Abbott
562,1977,Actor (Musical),Barry Bostwick
563,1977,Actor (Play),Al Pacino
564,1977,Actress (Musical),Dorothy Loudon
565,1977,Actress (Play),Julie Harris
